state,Month,maize,rice,sorghum
Abia,Apr,0.3079313603686207,0.35898115577129636,0.32697259227413744
Abia,Aug,0.2983186284468963,0.3895335935774723,0.2918890989470095
Abia,Dec,0.15544787846269048,0.14061338717953115,0.2105944633739382
Abia,Feb,0.17448367385997496,0.14679513875588635,0.24066375642830282
Abia,Jan,0.16315866383584665,0.146170307273484,0.21876860687415206
Abia,Jul,0.36543828008088525,0.480673623237702,0.3374591137771244
Abia,Jun,0.3219235258619114,0.41459277959673024,0.3152100588631133
Abia,Mar,0.2466520136158255,0.25388548942267297,0.2978060540638545
Abia,May,0.2914812203864619,0.3570858055193833,0.30624074448631033
Abia,Nov,0.19759902503473536,0.2154098709275542,0.24259702179471238
Abia,Oct,0.34547286669321653,0.4442580472157569,0.33004269267262665
Abia,Sep,0.3795166504730453,0.4953128487364298,0.34837584882864653
Adamawa,Apr,0.23922102946490056,0.18192769656981023,0.32837392022735107
Adamawa,Aug,0.7411203211852819,0.7274459309242247,0.7324280014333353
Adamawa,Dec,0.10912986126053645,0.07797195273690022,0.15589245118859402
Adamawa,Feb,0.11965927907868766,0.06665668765377816,0.17721323591322002
Adamawa,Jan,0.09687251499190762,0.062090353724822474,0.14075740707823856
Adamawa,Jul,0.6950680518315789,0.6448350079779626,0.7163023960753123
Adamawa,Jun,0.2709628484204327,0.2851155517366099,0.3170182075229812
Adamawa,Mar,0.17680627929386009,0.09893629959491444,0.2616983656247953
Adamawa,May,0.23643198295074774,0.19603709809791756,0.3210401317827717
Adamawa,Nov,0.1370929264390828,0.09936570899327352,0.1953663077340468
Adamawa,Oct,0.20027819518709097,0.210198071702243,0.24718536678637326
Adamawa,Sep,0.3037966874585169,0.37723296590767963,0.3055229577739837
Akwa Ibom,Apr,0.3296132515613029,0.39693444814673173,0.3387549938575385
Akwa Ibom,Aug,0.32622222955144076,0.43081295075024156,0.31252877753339414
Akwa Ibom,Dec,0.17454535104586977,0.17396571733378324,0.22727062845106422
Akwa Ibom,Feb,0.18749528354595707,0.1660805038592073,0.25390356128212166
Akwa Ibom,Jan,0.18318876487584385,0.18041937133895058,0.23589313890688535
Akwa Ibom,Jul,0.46231475466295546,0.6179473973883423,0.4007003173992071
Akwa Ibom,Jun,0.37574504117396135,0.49265405189867445,0.35064357271192714
Akwa Ibom,Mar,0.2533368415422984,0.2775204439325771,0.2970336032612525
Akwa Ibom,May,0.3124451391194528,0.39192914109535176,0.3182667288210571
Akwa Ibom,Nov,0.2179673018041075,0.25412576496484407,0.2547607242090407
Akwa Ibom,Oct,0.40425750854839954,0.5266974687141976,0.3694638422707679
Akwa Ibom,Sep,0.404918735188205,0.5347159695141458,0.3662788480664254
Anambra,Apr,0.30560369671686777,0.34145980167663276,0.33619752673759695
Anambra,Aug,0.2607674066290471,0.3305371997266433,0.27318226892806985
Anambra,Dec,0.1671593902439549,0.14293793843032104,0.2297423505101245
Anambra,Feb,0.18602814439538023,0.14398479925115726,0.260841320488888
Anambra,Jan,0.5709913606408992,0.4397687055694286,0.6335534175329157
Anambra,Jul,0.711256233664567,0.6990693332165692,0.7074483356730328
Anambra,Jun,0.33516040406213177,0.4194419954359155,0.33202315599133897
Anambra,Mar,0.25656053009398383,0.2528670841920091,0.317081024110393
Anambra,May,0.2868806319252196,0.3366926136858251,0.3122311989292435
Anambra,Nov,0.20111108183954135,0.21265294738141866,0.25380848807919854
Anambra,Oct,0.3284214421049363,0.40957512940645135,0.32529116182552786
Anambra,Sep,0.7288764325397399,0.7176654192976064,0.7221420621667888
Bauchi,Apr,0.17385541511217456,0.12562989932742014,0.246268187073782
Bauchi,Aug,0.3668616644010396,0.4948500206689248,0.31936745637762787
Bauchi,Dec,0.04304759053615363,0.051562806971587875,0.05455838190306009
Bauchi,Feb,0.04181455875611603,0.031830556361152944,0.05908074580647574
Bauchi,Jan,0.028822819507722825,0.036062905202496005,0.03601706411203937
Bauchi,Jul,0.6901903328327744,0.6758777304834281,0.67966548394675
Bauchi,Jun,0.22645518392919242,0.25727917305635717,0.2545388671037182
Bauchi,Mar,0.10919721959753391,0.060840482360535485,0.16171520520904467
Bauchi,May,0.18532671930762085,0.15095200847606,0.2553321193459437
Bauchi,Nov,0.07338503709386196,0.06907223246110525,0.09928431766940152
Bauchi,Oct,0.14401388910062327,0.1629437292176731,0.1731984833138725
Bauchi,Sep,0.31938899401107457,0.42587538032622363,0.29027581965951466
Bayelsa,Apr,0.36957176375481315,0.46272427550203155,0.36445566293087184
Bayelsa,Aug,0.2614348603359902,0.3464957593083837,0.26857162066138607
Bayelsa,Dec,0.23382150761033002,0.2742537072965393,0.2684218176770466
Bayelsa,Feb,0.22649442645778212,0.2520603947136028,0.27531077289636974
Bayelsa,Jan,0.22610739917151693,0.25525623928229213,0.2643187671231605
Bayelsa,Jul,0.3813749101475439,0.5084097572365758,0.3495286196254821
Bayelsa,Jun,0.4686840544472642,0.6218316760553276,0.41163526248809545
Bayelsa,Mar,0.2772839490288391,0.3250680112842883,0.31181458118171246
Bayelsa,May,0.3871880551396941,0.4965998808996959,0.3688035375721501
Bayelsa,Nov,0.2859224518797101,0.35658021478420815,0.3023908268165645
Bayelsa,Oct,0.4594900016157756,0.6030429223877516,0.409435130258624
Bayelsa,Sep,0.4054703776785308,0.5372720389984293,0.3675568828085672
Benue,Apr,0.24881825827731596,0.24579440670740077,0.3081490019148514
Benue,Aug,0.7178391859571911,0.7105194191734274,0.7113748175003828
Benue,Dec,0.14452198969043228,0.1099072887333826,0.20423421990625962
