Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,11,21.5,34.9,28.2,36.6,"19,631,786",2.0,155
Feb,3,22.7,36.2,29.4,36.5,"20,879,191",1.9,149
Mar,71,24.3,34.9,29.6,51.8,"19,018,698",2.1,151
Apr,165,23.6,32.9,28.3,60.8,"17,285,001",2.0,126
May,150,23.2,31.2,27.2,68.7,"16,096,667",1.7,114
Jun,206,22.4,29.7,26.1,73.0,"14,733,969",1.7,97
Jul,276,22.2,28.8,25.5,74.0,"13,990,040",1.9,96
Aug,187,22.1,29.0,25.5,72.1,"14,419,101",2.2,100
Sep,295,22.1,29.4,25.7,72.0,"14,678,479",1.8,98
Oct,242,22.2,30.0,26.1,71.0,"14,613,944",1.5,100
Nov,37,22.7,32.4,27.6,55.2,"17,608,942",1.8,123
Dec,4,21.3,34.5,27.9,37.9,"19,038,809",1.9,147
Total,"1,648",,"1,458",,,,,
