,state,disaster,disaster_frequency_3_years,abandoned_area,production_distruption_loss,loss_severity_economic,land_lost,Crop losses,severity_of_physical_loss
0,BENUE,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
1,BENUE,Flood,3.0,Yes,No,Significant losses,No,Yes,Almost total or total losses
2,BENUE,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
3,BENUE,Flood,2.0,No,Yes,Significant losses,No,Yes,Almost total or total losses
4,BENUE,Drought,1.0,No,No,Significant losses,No,Yes,Significant losses
5,BENUE,Drought,6.0,Yes,No,,No,Yes,Significant losses
6,BENUE,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
7,BENUE,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
8,BENUE,Drought,2.0,No,No,Significant losses,No,Yes,Significant losses
9,BENUE,Heavy rainfall,7.0,No,No,Significant losses,No,Yes,Significant losses
10,BENUE,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
11,BENUE,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Small losses
12,BENUE,Heavy rainfall,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
13,BENUE,Extreme Winds,1.0,No,No,,No,No,Small losses
14,BENUE,Heavy rainfall,4.0,No,Yes,Almost total or total losses,No,No,Significant losses
15,BENUE,Heavy rainfall,4.0,No,Yes,Significant losses,No,Yes,Significant losses
16,BENUE,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
17,BENUE,Heavy rainfall,7.0,Yes,No,,Yes,Yes,Significant losses
18,BENUE,Heavy rainfall,2.0,No,Yes,Small losses,No,No,Small losses
19,BENUE,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Almost total or total losses
20,BENUE,Heavy rainfall,1.0,No,No,Significant losses,No,Yes,Significant losses
21,BENUE,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
22,BENUE,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
23,BENUE,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
24,BENUE,Flood,5.0,No,No,Significant losses,No,Yes,Significant losses
25,BENUE,Heavy rainfall,4.0,No,Yes,Small losses,No,No,Small losses
26,BENUE,Extreme Winds,5.0,No,Yes,Significant losses,No,Yes,Significant losses
27,BENUE,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
28,BENUE,Flood,20.0,Yes,Yes,Significant losses,No,Yes,Significant losses
29,BENUE,Drought,10.0,Yes,Yes,Small losses,Yes,Yes,Small losses
30,BENUE,Other (specify),1.0,No,No,Small losses,Yes,No,Small losses
31,BENUE,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
32,BENUE,Heavy rainfall,4.0,No,Yes,Significant losses,No,Yes,Small losses
33,BENUE,Heavy rainfall,4.0,No,No,Significant losses,No,Yes,Significant losses
34,BENUE,Extreme Winds,1.0,No,Yes,Small losses,No,Yes,Small losses
35,BENUE,Heavy rainfall,1.0,Yes,No,Small losses,No,Yes,Small losses
36,BENUE,Heavy rainfall,3.0,No,No,Almost total or total losses,No,Yes,Almost total or total losses
37,BENUE,Fire Disaster,2.0,No,No,Significant losses,No,No,Small losses
38,BENUE,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
39,BENUE,Heavy rainfall,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
40,BENUE,Extreme temperatures (cold or heat),4.0,Yes,Yes,Small losses,Yes,Yes,Small losses
41,BENUE,Other (specify),1.0,Yes,Yes,Small losses,Yes,Yes,Small losses
42,BENUE,Flood,5.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
43,BENUE,Extreme Winds,3.0,No,Yes,Small losses,No,Yes,Small losses
44,BENUE,Heavy rainfall,1.0,No,Yes,Small losses,No,No,Small losses
45,BENUE,Heavy rainfall,1.0,Yes,No,Significant losses,No,Yes,Significant losses
46,BENUE,Extreme Winds,1.0,No,Yes,Small losses,No,No,Small losses
47,BENUE,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
48,BENUE,Heavy rainfall,5.0,No,Yes,Significant losses,No,No,Significant losses
49,BENUE,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
50,BENUE,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
51,BENUE,Flood,2.0,No,Yes,Small losses,No,No,Significant losses
52,BENUE,Extreme Winds,2.0,No,Yes,Small losses,No,No,Small losses
53,BENUE,Extreme Winds,3.0,No,Yes,Significant losses,No,No,Significant losses
54,BENUE,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
55,BENUE,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
56,BENUE,Drought,3.0,No,Yes,Small losses,No,No,Small losses
57,BENUE,Extreme Winds,1.0,No,No,,No,No,Small losses
58,BENUE,Flood,6.0,No,No,,Yes,Yes,Significant losses
59,BENUE,Heavy rainfall,4.0,No,No,Significant losses,No,No,Almost total or total losses
60,BENUE,Flood,2.0,No,Yes,Small losses,Yes,Yes,Small losses
61,BENUE,Fire Disaster,1.0,No,Yes,Significant losses,Yes,Yes,Significant losses
62,BENUE,Extreme Winds,3.0,No,Yes,Small losses,No,No,Small losses
63,BENUE,Heavy rainfall,1.0,No,Yes,Significant losses,No,Yes,Significant losses
64,BENUE,Heavy rainfall,3.0,No,No,Significant losses,No,Yes,Significant losses
65,BENUE,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
66,BENUE,Flood,6.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
67,BENUE,Heavy rainfall,10.0,Yes,Yes,Significant losses,No,Yes,Significant losses
68,BENUE,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
69,BENUE,Drought,4.0,Yes,Yes,Significant losses,No,Yes,Small losses
70,BENUE,Heavy rainfall,3.0,No,Yes,Small losses,No,Yes,Significant losses
71,BENUE,Flood,6.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
72,BENUE,Flood,5.0,No,Yes,Significant losses,No,Yes,Small losses
73,BENUE,Extreme Winds,3.0,No,No,Significant losses,No,Yes,Significant losses
74,BENUE,Heavy rainfall,3.0,Yes,Yes,Small losses,Yes,Yes,Small losses
75,BENUE,Flood,3.0,No,Yes,Almost total or total losses,No,Yes,Almost total or total losses
76,BENUE,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
77,BENUE,Flood,2.0,No,No,Significant losses,Yes,No,Significant losses
78,BENUE,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
79,BENUE,Heavy rainfall,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
80,BENUE,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
81,BENUE,Heavy rainfall,3.0,No,Yes,Small losses,No,No,Small losses
82,BENUE,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
83,BENUE,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
84,BENUE,Drought,9.0,No,No,,No,Yes,Significant losses
85,BENUE,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
86,BENUE,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
87,BENUE,Heavy rainfall,5.0,No,No,,No,No,Significant losses
88,BENUE,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
89,BENUE,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
90,BENUE,Flood,1.0,No,No,Significant losses,No,Yes,Significant losses
91,BENUE,Flood,6.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
92,BENUE,Drought,6.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
93,BENUE,Heavy rainfall,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
94,BENUE,Heavy rainfall,2.0,No,Yes,Small losses,Yes,Yes,Small losses
95,BENUE,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
96,BENUE,Flood,8.0,No,No,,No,No,Significant losses
97,BENUE,Fire Disaster,1.0,No,No,Significant losses,No,No,Significant losses
98,BENUE,Drought,4.0,Yes,No,Small losses,Yes,Yes,Small losses
99,BENUE,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
100,BENUE,Extreme Winds,4.0,No,Yes,Significant losses,No,Yes,Significant losses
101,BENUE,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
102,BENUE,Heavy rainfall,1.0,No,No,Small losses,Yes,No,Small losses
103,BENUE,Drought,6.0,Yes,Yes,Significant losses,No,Yes,Significant losses
104,BENUE,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
105,BENUE,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
106,BENUE,Flood,20.0,Yes,Yes,Small losses,Yes,Yes,Small losses
107,BENUE,Flood,5.0,No,Yes,Significant losses,No,Yes,Significant losses
108,BENUE,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
109,BENUE,Drought,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
110,BENUE,Drought,4.0,Yes,Yes,Significant losses,No,Yes,Small losses
111,BENUE,Drought,3.0,No,No,Significant losses,No,Yes,Significant losses
112,BENUE,Drought,1.0,No,Yes,Significant losses,No,Yes,Significant losses
113,BENUE,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
114,BENUE,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
115,BENUE,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
116,BENUE,Heavy rainfall,6.0,No,Yes,Significant losses,No,No,Significant losses
117,BENUE,Flood,11.0,Yes,Yes,Significant losses,No,No,Significant losses
118,BENUE,Flood,4.0,No,No,,Yes,Yes,Significant losses
119,BENUE,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
120,BENUE,Extreme Winds,2.0,No,Yes,Significant losses,No,Yes,Significant losses
121,BENUE,Drought,3.0,No,Yes,Almost total or total losses,No,Yes,Significant losses
122,BENUE,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
123,BENUE,Heavy rainfall,6.0,No,Yes,Small losses,No,Yes,Small losses
124,BENUE,Heavy rainfall,4.0,No,Yes,Significant losses,No,Yes,Small losses
125,BENUE,Heavy rainfall,5.0,No,Yes,Significant losses,No,Yes,Significant losses
126,BENUE,Heavy rainfall,2.0,No,No,Small losses,Yes,Yes,Small losses
127,BENUE,Fire Disaster,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
128,BENUE,Drought,2.0,Yes,No,Significant losses,No,Yes,Small losses
129,BENUE,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
130,BENUE,Extreme Winds,1.0,No,No,Small losses,No,Yes,Significant losses
131,BENUE,Extreme Winds,3.0,No,Yes,Significant losses,No,Yes,Significant losses
132,BENUE,Extreme temperatures (cold or heat),3.0,No,No,Small losses,Yes,Yes,Small losses
133,BENUE,Drought,2.0,Yes,Yes,Significant losses,No,No,Significant losses
134,BENUE,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
135,BENUE,Heavy rainfall,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
136,BENUE,Heavy rainfall,6.0,No,Yes,Small losses,No,Yes,Small losses
137,BENUE,Heavy rainfall,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
138,BENUE,Flood,6.0,No,Yes,Small losses,No,Yes,Small losses
139,BENUE,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
140,BENUE,Extreme Winds,12.0,Yes,Yes,Small losses,Yes,Yes,Small losses
141,BENUE,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
142,FCT,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
143,FCT,Heavy rainfall,1.0,No,Yes,Small losses,No,No,Small losses
144,FCT,Flood,1.0,No,Yes,Small losses,No,Yes,Small losses
145,FCT,Extreme temperatures (cold or heat),2.0,No,No,Small losses,No,No,Small losses
146,FCT,Extreme Winds,4.0,No,No,,No,No,Small losses
147,FCT,Extreme Winds,3.0,No,No,Small losses,No,No,Small losses
148,FCT,Extreme Winds,3.0,No,No,Small losses,No,No,Small losses
149,FCT,Heavy rainfall,2.0,No,No,,No,No,Small losses
150,FCT,Extreme Winds,3.0,No,No,Small losses,No,No,Small losses
151,FCT,Heavy rainfall,2.0,No,Yes,Small losses,No,Yes,Small losses
152,FCT,Flood,2.0,No,Yes,Significant losses,No,Yes,Small losses
153,FCT,Flood,1.0,No,Yes,Significant losses,No,Yes,Significant losses
154,FCT,Extreme Winds,2.0,Yes,No,Small losses,No,No,Small losses
155,KOGI,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
156,KOGI,Drought,5.0,No,Yes,Significant losses,No,Yes,Significant losses
157,KOGI,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
158,KOGI,Flood,9.0,No,Yes,Significant losses,No,No,Significant losses
159,KOGI,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
160,KOGI,Flood,3.0,No,No,Almost total or total losses,Yes,No,Significant losses
161,KOGI,Flood,4.0,No,No,Small losses,No,No,Small losses
162,KOGI,Flood,2.0,Yes,No,Significant losses,No,Yes,Significant losses
163,KOGI,Flood,2.0,No,Yes,Small losses,No,Yes,Small losses
164,KOGI,Extreme temperatures (cold or heat),2.0,No,No,Significant losses,No,Yes,Significant losses
165,KOGI,Flood,3.0,No,No,,No,Yes,Small losses
166,KOGI,Heavy rainfall,8.0,Yes,Yes,Almost total or total losses,Yes,Yes,Almost total or total losses
167,KOGI,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
168,KOGI,Flood,5.0,No,Yes,Significant losses,No,Yes,Significant losses
169,KOGI,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
170,KOGI,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
171,KOGI,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
172,KOGI,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
173,KOGI,Heavy rainfall,3.0,No,No,Significant losses,No,Yes,Significant losses
174,KOGI,Extreme temperatures (cold or heat),3.0,No,Yes,Small losses,No,No,Small losses
175,KOGI,Flood,3.0,No,Yes,Significant losses,No,No,Significant losses
176,KOGI,Flood,3.0,No,No,Significant losses,Yes,Yes,Significant losses
177,KOGI,Flood,2.0,No,Yes,Small losses,No,Yes,Small losses
178,KOGI,Flood,3.0,Yes,Yes,Significant losses,Yes,No,Significant losses
179,KOGI,Flood,1.0,No,No,,No,No,Small losses
180,KOGI,Heavy rainfall,1.0,Yes,No,,No,Yes,Small losses
181,KOGI,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
182,KOGI,Extreme Winds,3.0,No,No,Small losses,No,No,Small losses
183,KOGI,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
184,KOGI,Heavy rainfall,1.0,No,Yes,Small losses,No,Yes,Small losses
185,KOGI,Flood,1.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
186,KOGI,Flood,2.0,No,No,Significant losses,Yes,Yes,Significant losses
187,KOGI,Drought,1.0,No,Yes,Significant losses,No,Yes,Significant losses
188,KOGI,Extreme Winds,1.0,No,Yes,Significant losses,No,Yes,Significant losses
189,KOGI,Extreme Winds,1.0,No,No,,No,No,Small losses
190,KOGI,Flood,1.0,No,No,Small losses,No,No,Small losses
191,KOGI,Flood,3.0,No,Yes,Small losses,No,Yes,Significant losses
192,KOGI,Flood,3.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
193,KOGI,Flood,3.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
194,KOGI,Drought,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
195,KOGI,Heavy rainfall,7.0,No,No,Small losses,Yes,No,Small losses
196,KOGI,Flood,3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
197,KOGI,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
198,KOGI,Flood,1.0,No,Yes,Significant losses,Yes,Yes,Significant losses
199,KOGI,Heavy rainfall,2.0,Yes,Yes,Small losses,No,Yes,Small losses
200,KOGI,Flood,3.0,Yes,Yes,Significant losses,No,No,Significant losses
201,KOGI,Flood,3.0,Yes,Yes,Almost total or total losses,No,No,Almost total or total losses
202,KOGI,Flood,2.0,Yes,No,Significant losses,No,No,Significant losses
203,KOGI,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
204,KOGI,Flood,2.0,No,No,Significant losses,No,No,Significant losses
205,KOGI,Other (specify),3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
206,KOGI,Heavy rainfall,1.0,No,No,,No,Yes,Small losses
207,KOGI,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
208,KOGI,Heavy rainfall,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
209,KOGI,Heavy rainfall,3.0,Yes,Yes,Small losses,Yes,No,Small losses
210,KOGI,Heavy rainfall,2.0,No,No,Significant losses,No,Yes,Small losses
211,KOGI,Flood,3.0,Yes,Yes,Almost total or total losses,No,No,Almost total or total losses
212,KOGI,Flood,3.0,No,Yes,Significant losses,Yes,No,Significant losses
213,KOGI,Flood,3.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
214,KOGI,Flood,3.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
215,KOGI,Extreme Winds,5.0,No,Yes,Small losses,No,No,Significant losses
216,KOGI,Flood,3.0,No,No,,No,No,Small losses
217,KOGI,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
218,KOGI,Flood,3.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
219,KOGI,Extreme Winds,1.0,No,No,,No,No,Significant losses
220,KOGI,Flood,9.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
221,KOGI,Extreme Winds,3.0,No,No,Significant losses,No,Yes,Significant losses
222,KOGI,Flood,9.0,Yes,Yes,Significant losses,No,No,Significant losses
223,KOGI,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
224,KOGI,Flood,9.0,No,Yes,Almost total or total losses,No,No,Significant losses
225,KOGI,Flood,1.0,No,No,Small losses,No,No,Small losses
226,KOGI,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
227,KOGI,Extreme Winds,3.0,No,No,,No,No,Significant losses
228,KOGI,Extreme Winds,3.0,No,No,Significant losses,No,Yes,Significant losses
229,KOGI,Heavy rainfall,3.0,No,Yes,Small losses,Yes,No,Small losses
230,KOGI,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
231,KOGI,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
232,KOGI,Flood,3.0,No,No,Small losses,Yes,No,Small losses
233,KOGI,Extreme Winds,2.0,No,Yes,Significant losses,No,No,Significant losses
234,KOGI,Flood,9.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
235,KOGI,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
236,KOGI,Heavy rainfall,1.0,No,No,,No,Yes,Significant losses
237,KOGI,Flood,3.0,Yes,Yes,Almost total or total losses,No,No,Almost total or total losses
238,KOGI,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
239,KOGI,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
240,KOGI,Flood,3.0,Yes,Yes,Almost total or total losses,No,No,Almost total or total losses
241,KOGI,Flood,3.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
242,KOGI,Flood,2.0,No,Yes,Small losses,No,No,Small losses
243,KOGI,Flood,9.0,No,Yes,Almost total or total losses,No,No,Significant losses
244,KOGI,Flood,9.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
245,KOGI,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
246,KOGI,Extreme Winds,2.0,No,No,Significant losses,No,Yes,Significant losses
247,KOGI,Flood,4.0,Yes,Yes,Significant losses,No,No,Significant losses
248,KOGI,Flood,4.0,No,No,Small losses,Yes,No,Small losses
249,KOGI,Flood,2.0,Yes,Yes,Significant losses,No,Yes,Significant losses
250,KOGI,Flood,2.0,No,No,Small losses,No,No,Small losses
251,KOGI,Extreme Winds,3.0,No,No,Significant losses,No,No,Significant losses
252,KOGI,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
253,KOGI,Heavy rainfall,7.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
254,KOGI,Flood,1.0,Yes,No,Significant losses,Yes,Yes,Significant losses
255,KOGI,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
256,KOGI,Extreme Winds,4.0,No,No,,No,No,Significant losses
257,KOGI,Heavy rainfall,2.0,No,Yes,Small losses,Yes,Yes,Significant losses
258,KOGI,Heavy rainfall,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
259,KOGI,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
260,KOGI,Flood,3.0,Yes,No,Significant losses,Yes,No,Almost total or total losses
261,KOGI,Flood,9.0,No,Yes,Almost total or total losses,No,No,Almost total or total losses
262,KOGI,Flood,1.0,No,No,,No,No,Small losses
263,KOGI,Heavy rainfall,3.0,No,No,Significant losses,No,Yes,Significant losses
264,KOGI,Flood,5.0,No,Yes,Significant losses,No,Yes,Significant losses
265,KOGI,Flood,9.0,Yes,Yes,Almost total or total losses,No,No,Almost total or total losses
266,KOGI,Flood,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
267,KWARA,Flood,9.0,Yes,No,,No,No,Significant losses
268,KWARA,Heavy rainfall,2.0,No,No,Significant losses,No,Yes,Significant losses
269,KWARA,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,No,Significant losses
270,KWARA,Flood,2.0,No,Yes,Small losses,No,Yes,Significant losses
271,KWARA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
272,KWARA,Heavy rainfall,3.0,No,No,Significant losses,No,Yes,Significant losses
273,KWARA,Heavy rainfall,1.0,Yes,Yes,Significant losses,No,Yes,Significant losses
274,KWARA,Flood,3.0,Yes,Yes,Almost total or total losses,No,Yes,Almost total or total losses
275,KWARA,Flood,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
276,KWARA,Heavy rainfall,2.0,No,Yes,Significant losses,No,Yes,Significant losses
277,KWARA,Extreme Winds,5.0,No,Yes,Significant losses,No,Yes,Significant losses
278,KWARA,Flood,3.0,No,No,,No,Yes,Significant losses
279,KWARA,Flood,10.0,Yes,Yes,Significant losses,No,No,Significant losses
280,KWARA,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Small losses
281,KWARA,Drought,3.0,Yes,No,Significant losses,No,Yes,Significant losses
282,KWARA,Drought,2.0,Yes,No,Small losses,No,No,Small losses
283,KWARA,Heavy rainfall,5.0,No,Yes,Significant losses,No,Yes,Significant losses
284,KWARA,Flood,2.0,No,Yes,Significant losses,No,Yes,Significant losses
285,KWARA,Extreme Winds,1.0,No,Yes,Significant losses,No,Yes,Significant losses
286,KWARA,Flood,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
287,KWARA,Flood,3.0,No,No,,No,No,Significant losses
288,KWARA,Extreme temperatures (cold or heat),6.0,No,Yes,Significant losses,No,Yes,Significant losses
289,KWARA,Flood,3.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
290,KWARA,Heavy rainfall,2.0,Yes,Yes,Significant losses,Yes,Yes,Significant losses
291,KWARA,Drought,3.0,Yes,No,Significant losses,No,No,Significant losses
292,KWARA,Flood,1.0,No,Yes,Small losses,No,Yes,Small losses
293,KWARA,Heavy rainfall,3.0,No,No,,Yes,Yes,Significant losses
294,KWARA,Heavy rainfall,2.0,No,No,Significant losses,No,No,Significant losses
295,KWARA,Extreme Winds,2.0,No,Yes,Significant losses,No,Yes,Significant losses
296,KWARA,Drought,3.0,No,No,,No,Yes,Significant losses
297,KWARA,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
298,KWARA,Extreme Winds,3.0,No,Yes,Significant losses,No,No,Significant losses
299,KWARA,Heavy rainfall,2.0,No,Yes,Significant losses,No,Yes,Significant losses
300,KWARA,Extreme temperatures (cold or heat),3.0,Yes,Yes,Significant losses,No,Yes,Significant losses
301,KWARA,Flood,5.0,No,No,,Yes,Yes,Significant losses
302,KWARA,Drought,3.0,No,Yes,Significant losses,No,Yes,Significant losses
303,KWARA,Drought,3.0,No,No,Significant losses,No,Yes,Significant losses
304,KWARA,Extreme Winds,3.0,No,Yes,Small losses,No,No,Small losses
305,KWARA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
306,KWARA,Extreme temperatures (cold or heat),3.0,No,Yes,Significant losses,No,Yes,Significant losses
307,KWARA,Extreme temperatures (cold or heat),3.0,No,Yes,Significant losses,No,No,Significant losses
308,KWARA,Drought,3.0,No,Yes,Small losses,No,Yes,Small losses
309,KWARA,Heavy rainfall,1.0,Yes,Yes,Small losses,No,Yes,Small losses
310,KWARA,Extreme Winds,1.0,No,Yes,Significant losses,Yes,Yes,Significant losses
311,KWARA,Flood,10.0,No,Yes,Small losses,No,Yes,Significant losses
312,KWARA,Flood,3.0,No,Yes,Significant losses,Yes,Yes,Significant losses
313,KWARA,Extreme Winds,2.0,No,No,Significant losses,No,No,Significant losses
314,KWARA,Heavy rainfall,2.0,No,Yes,Significant losses,No,No,Significant losses
315,KWARA,Extreme Winds,1.0,No,No,,No,No,Small losses
316,KWARA,Heavy rainfall,2.0,No,Yes,Significant losses,Yes,Yes,Significant losses
317,KWARA,Flood,3.0,No,No,,No,No,Significant losses
318,KWARA,Heavy rainfall,2.0,Yes,Yes,Small losses,No,Yes,Small losses
319,KWARA,Flood,2.0,Yes,Yes,Almost total or total losses,No,No,Significant losses
320,KWARA,Heavy rainfall,6.0,No,No,Significant losses,No,No,Significant losses
321,KWARA,Flood,3.0,No,No,Significant losses,Yes,Yes,Significant losses
322,KWARA,Extreme Winds,3.0,No,No,,No,Yes,Significant losses
323,KWARA,Flood,3.0,No,Yes,Significant losses,No,No,Significant losses
324,KWARA,Heavy rainfall,2.0,Yes,Yes,Small losses,Yes,Yes,Significant losses
325,KWARA,Flood,2.0,No,Yes,Small losses,No,Yes,Significant losses
326,KWARA,Flood,3.0,No,Yes,Almost total or total losses,Yes,Yes,Almost total or total losses
327,KWARA,Flood,2.0,No,Yes,Significant losses,No,No,Significant losses
328,KWARA,Heavy rainfall,1.0,No,No,,No,Yes,Significant losses
329,KWARA,Extreme Winds,6.0,No,Yes,Significant losses,No,Yes,Significant losses
330,KWARA,Heavy rainfall,3.0,No,No,Significant losses,No,No,Significant losses
331,KWARA,Heavy rainfall,2.0,No,No,Significant losses,No,Yes,Significant losses
332,KWARA,Heavy rainfall,10.0,Yes,Yes,Significant losses,No,No,Significant losses
333,KWARA,Extreme Winds,2.0,No,Yes,Significant losses,No,Yes,Significant losses
334,KWARA,Drought,3.0,No,Yes,Significant losses,No,Yes,Significant losses
335,KWARA,Heavy rainfall,2.0,No,No,Significant losses,No,No,Significant losses
336,KWARA,Extreme Winds,1.0,No,Yes,Significant losses,No,No,Significant losses
337,KWARA,Heavy rainfall,3.0,No,Yes,Significant losses,No,Yes,Significant losses
338,KWARA,Heavy rainfall,2.0,No,No,,No,No,Small losses
339,KWARA,Extreme Winds,2.0,Yes,No,Significant losses,No,No,Significant losses
340,KWARA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
341,KWARA,Flood,3.0,No,No,Small losses,No,Yes,Significant losses
342,KWARA,Flood,3.0,No,Yes,Significant losses,No,Yes,Significant losses
