,state,Month,Maize,Rice,Sorghum,Beans,Millet
0,Abia,Apr,0.5486625421897193,0.550125962145073,0.5644317729589501,0.5794317729589501,0.5604824655613668
1,Abia,Aug,0.5303725373736508,0.5624610289616783,0.5360438185542697,0.5584122396069013,0.5398048826045441
2,Abia,Dec,0.5029081461210678,0.5235507675669895,0.5361110976686714,0.5521637292476188,0.5096524494080208
3,Abia,Feb,0.4754414749543642,0.5004746360566997,0.5124677254441121,0.5245729886020069,0.4857500048999177
4,Abia,Jan,0.48978430662520134,0.5123634726702675,0.5243970792515563,0.5396602371462932,0.4957855165465565
5,Abia,Jul,0.49538872304649817,0.5172048576953485,0.49001782060428856,0.51238624165692,0.5055873518022957
6,Abia,Jun,0.521577236644801,0.5532520102468815,0.5264701450945856,0.547259618778796,0.5331632418877936
7,Abia,Mar,0.5202745515003461,0.5329351458680248,0.5511273659185255,0.5627063132869465,0.5307262554729211
8,Abia,May,0.5416786360214433,0.5814537979478028,0.5564141721321917,0.574308908974297,0.5529026731256982
9,Abia,Nov,0.5915364856835656,0.6017746998475886,0.6213445044898865,0.6381866097530444,0.6020890164357333
10,Abia,Oct,0.5201482071959379,0.5465461356797958,0.5205746144050276,0.5413640880892381,0.5311594997952522
11,Abia,Sep,0.49618694798518453,0.515361734446725,0.4889850412331929,0.5108271464963507,0.5065287507680036
12,Adamawa,Apr,0.35063791804860533,0.38713212758101645,0.39705884008073283,0.3989009453438907,0.3570333606781677
13,Adamawa,Aug,1.5022722839459197,1.5297070980567193,1.5055183333125124,1.524728859628302,1.5096901101205518
14,Adamawa,Dec,0.42408987197988557,0.4485134297151102,0.45337549298027746,0.47284917719080377,0.4249227011793209
15,Adamawa,Feb,0.3582677862440836,0.3900826738798543,0.39150077566552804,0.4070270914550017,0.36094070417108504
16,Adamawa,Jan,0.39974612899361284,0.4251429148437097,0.42797911841505726,0.44850543420453093,0.39741904692061425
17,Adamawa,Jul,1.5307207873117412,1.539826650403921,1.5478247444751214,1.563351060264595,1.537991406388168
18,Adamawa,Jun,0.5014132897794891,0.510683083291851,0.5294425440566212,0.5404951756355685,0.5097093172043732
19,Adamawa,Mar,0.2875835426784841,0.32862860363060337,0.3308165320999286,0.3363428478894023,0.2891453494943744
20,Adamawa,May,0.4172030364823378,0.4483631968331377,0.46213904275111145,0.46608641117216415,0.4243667791723963
21,Adamawa,Nov,0.42277986438085036,0.44987429506456145,0.4562760116970317,0.47153916959176845,0.4278232198960752
22,Adamawa,Oct,0.5531655577473659,0.5658239164930177,0.5835299302170015,0.599319403901212,0.5597898771666037
23,Adamawa,Sep,0.5419155839714315,0.5714428539398156,0.5506056714730639,0.5700793556835902,0.5496449648950048
24,Akwa Ibom,Apr,0.5279802386607798,0.5629229329620449,0.5390988229627257,0.555151454541673,0.5408548101469665
25,Akwa Ibom,Aug,0.5026976365242245,0.5329683518571968,0.5046468333375979,0.5270152543902294,0.5130878361612481
26,Akwa Ibom,Dec,0.5555639425213261,0.5727676382823123,0.5890150330267461,0.6050676646056934,0.5649902381454438
27,Akwa Ibom,Feb,0.5057465491610279,0.5299005137535584,0.5439194628347905,0.5554984102032116,0.5184971037083157
28,Akwa Ibom,Jan,0.540582216493453,0.5581475529243746,0.5737061553729097,0.5889693132676466,0.5500317022768771
29,Akwa Ibom,Jul,0.43400200679371015,0.44100652958185776,0.4117125984092254,0.43487049314606746,0.4453268706775577
30,Akwa Ibom,Jun,0.4822679120574046,0.5065547800708761,0.4779496411941423,0.49926543066782647,0.495051739441958
31,Akwa Ibom,Mar,0.568114228377565,0.5747342675400272,0.5958842427435046,0.6093052953750836,0.579788961186599
32,Akwa Ibom,May,0.5233798073249729,0.5604312035249955,0.5338519243420815,0.5525361348683973,0.5359216504385038
33,Akwa Ibom,Nov,0.6050038973322253,0.6365481978295836,0.6310297560236188,0.6489244928657241,0.6166110761989322
34,Akwa Ibom,Oct,0.48065164277964906,0.4985701308907606,0.4712615422180714,0.49231417379701875,0.4921660610091308
35,Akwa Ibom,Sep,0.46992610762926473,0.4873896504804588,0.4589870975731071,0.4810923607310017,0.48134574868592944
36,Anambra,Apr,0.5260182833323621,0.5259480575984717,0.5466523436693088,0.5590207647219404,0.5379793641954393
37,Anambra,Aug,0.5474576647885727,0.5877589286019848,0.5621520620721041,0.5829415357563147,0.5569363903380786
38,Anambra,Dec,0.48001704548013313,0.5037749343026608,0.5157275064961969,0.5291485591277758,0.4882435024270983
39,Anambra,Feb,0.43587123628541435,0.4658450486551533,0.47605538151200444,0.48500274993305703,0.4478050939180016
40,Anambra,Jan,1.4434393020511107,1.4707949404217153,1.480559584145926,1.4931911630932944,1.4497732403451216
41,Anambra,Jul,1.523399626796031,1.5559554762368641,1.529781368992714,1.5505708426769245,1.5338362067516673
42,Anambra,Jun,0.5175858859317982,0.5487501612081732,0.5234674322293037,0.5421516427556196,0.5293614455204249
43,Anambra,Mar,0.49184800192860983,0.5086339563383598,0.5263399700623438,0.5350241805886595,0.5027040212873516
44,Anambra,May,0.547844486330578,0.5878948071021488,0.5670576246353971,0.5825839404248708,0.55971280655643
45,Anambra,Nov,0.5896834510807663,0.6026828456432969,0.6226983394182353,0.6376983394182352,0.6011202326899618
46,Anambra,Oct,0.536490149537008,0.5667910627023374,0.5424807463765012,0.561428114797554,0.5478109803496718
47,Anambra,Sep,1.5194004546609134,1.549532560820739,1.5239662114847348,1.5439662114847348,1.5300517956570823
48,Bauchi,Apr,0.38076487639405204,0.4127474193543306,0.4202836174153398,0.43002045952060297,0.3832885706872563
