Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,68,23.6,31.8,27.7,58.7,"17,484,814",1.8,124
Feb,45,24.7,32.2,28.4,64.1,"17,865,516",2.1,116
Mar,104,25.2,31.6,28.4,70.2,"16,974,004",2.2,123
Apr,241,24.5,30.5,27.5,74.6,"14,824,949",1.9,103
May,275,23.9,29.6,26.8,76.9,"13,797,299",1.7,96
Jun,402,23.3,28.2,25.7,80.8,"11,814,789",1.7,80
Jul,289,23.1,27.6,25.4,80.1,"12,024,194",2.3,85
Aug,128,23.0,27.9,25.4,77.8,"13,911,787",2.8,97
Sep,320,23.1,28.1,25.6,79.1,"13,152,855",2.3,89
Oct,385,23.1,29.0,26.1,78.8,"13,522,994",1.7,92
Nov,137,23.8,30.2,27.0,73.9,"15,601,527",1.9,102
Dec,74,23.6,31.2,27.4,64.6,"16,970,888",1.8,117
Total,"2,469",,"1,224",,,,,
