Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,21.5,35.3,28.4,14.9,"22,373,707",3.4,226
Feb,0,22.2,37.7,30.0,10.9,"24,062,827",3.0,215
Mar,0,25.9,39.5,32.7,23.2,"24,028,025",2.6,224
Apr,33,26.7,36.7,31.7,44.6,"21,082,163",3.0,191
May,53,26.1,35.0,30.6,51.8,"21,005,982",2.6,175
Jun,96,24.7,32.3,28.5,59.9,"17,791,769",2.3,134
Jul,138,23.9,30.5,27.2,64.9,"15,800,257",2.5,123
Aug,211,23.3,29.8,26.6,68.4,"15,069,119",2.4,114
Sep,243,23.1,30.3,26.7,64.9,"16,058,617",2.0,114
Oct,185,23.4,32.3,27.8,55.5,"18,718,455",1.9,137
Nov,0,22.3,35.3,28.8,26.2,"21,605,166",2.2,173
Dec,0,21.4,35.3,28.3,19.6,"21,299,315",3.1,206
Total,957,,"2,034",,,,,
