Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,17.2,30.0,23.6,11.0,"20,835,022",3.9,213
Feb,0,19.0,33.3,26.1,8.2,"23,259,163",3.9,220
Mar,0,23.5,38.6,31.1,8.0,"24,790,267",3.2,254
Apr,1,26.2,40.3,33.2,19.4,"24,726,069",2.4,221
May,3,28.1,39.8,34.0,27.0,"24,054,419",2.4,223
Jun,54,26.3,36.3,31.3,42.6,"23,260,998",2.5,192
Jul,130,25.1,33.2,29.2,55.6,"20,923,554",2.6,166
Aug,313,23.5,30.4,26.9,66.0,"18,293,171",2.4,132
Sep,65,23.5,31.6,27.5,62.4,"19,732,174",2.1,136
Oct,4,22.7,34.9,28.8,33.7,"22,085,086",2.4,186
Nov,0,20.4,33.8,27.1,14.4,"21,458,174",3.2,200
Dec,0,19.0,31.8,25.4,12.7,"20,414,893",3.8,212
Total,569,,"2,355",,,,,
