Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,14,22.9,33.7,28.3,38.7,"19,554,413",2.0,147
Feb,17,24.1,33.6,28.8,54.4,"19,615,119",2.3,133
Mar,47,25.3,33.1,29.2,62.9,"19,456,827",2.7,146
Apr,78,24.9,32.2,28.6,64.9,"17,715,906",2.2,127
May,156,24.8,30.8,27.8,70.3,"16,899,993",1.9,119
Jun,290,23.6,29.0,26.3,75.7,"14,482,364",1.9,96
Jul,143,23.0,27.8,25.4,78.6,"14,261,321",2.5,96
Aug,165,22.3,27.5,24.9,78.4,"14,720,537",2.7,98
Sep,229,22.7,28.1,25.4,80.1,"13,943,633",2.3,91
Oct,134,23.3,30.0,26.6,74.3,"15,549,147",1.7,106
Nov,47,24.1,31.8,28.0,65.5,"17,454,581",2.0,118
Dec,28,23.0,32.8,27.9,48.0,"18,553,539",2.0,135
Total,"1,349",,"1,413",,,,,
