Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,15.0,28.8,21.9,15.8,"21,121,503",3.7,195
Feb,0,16.6,31.9,24.2,11.3,"23,532,027",3.6,204
Mar,0,21.4,36.8,29.1,11.7,"25,236,374",3.0,237
Apr,3,24.9,37.9,31.4,26.7,"24,986,539",2.7,216
May,7,25.6,37.1,31.3,33.4,"24,291,918",2.6,213
Jun,90,24.0,33.7,28.8,49.9,"23,872,127",2.6,179
Jul,126,23.1,31.1,27.1,60.6,"20,509,747",2.8,152
Aug,232,21.8,28.8,25.3,68.6,"17,555,992",2.5,122
Sep,189,21.4,30.1,25.7,65.5,"20,041,952",2.0,130
Oct,17,20.0,32.3,26.2,42.2,"22,673,309",2.3,166
Nov,0,17.8,31.8,24.8,20.5,"21,883,547",3.0,181
Dec,0,16.0,29.9,23.0,17.9,"20,573,619",3.6,190
Total,663,,"2,183",,,,,
