Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,15.5,29.4,22.4,14.1,"21,856,565",3.2,189
Feb,0,16.1,32.6,24.3,9.1,"23,958,175",3.2,197
Mar,0,20.7,38.3,29.5,6.9,"25,724,053",3.2,255
Apr,2,25.9,40.7,33.3,18.7,"24,992,359",2.8,235
May,2,26.6,39.6,33.1,25.1,"24,425,287",2.5,225
Jun,23,25.6,36.9,31.3,36.1,"22,951,122",2.7,196
Jul,86,24.4,33.0,28.7,53.4,"20,827,765",2.7,168
Aug,295,22.9,30.0,26.4,65.1,"17,653,141",2.4,129
Sep,105,23.2,31.9,27.6,58.9,"21,061,682",2.0,144
Oct,14,22.1,35.2,28.7,31.0,"21,929,956",2.4,184
Nov,0,18.2,33.5,25.8,16.9,"21,935,931",2.8,185
Dec,0,16.2,30.9,23.5,17.5,"21,153,026",3.0,182
Total,527,,"2,290",,,,,
