Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,2,22.4,36.3,29.4,25.5,"21,274,363",2.1,176
Feb,0,22.9,37.3,30.1,28.8,"22,698,485",1.8,162
Mar,5,26.0,37.3,31.6,42.0,"21,845,563",2.8,199
Apr,41,25.4,34.9,30.2,52.2,"20,604,263",2.9,172
May,28,25.1,33.3,29.2,57.5,"19,650,129",2.7,157
Jun,73,24.1,31.3,27.7,64.0,"17,713,475",2.4,128
Jul,152,23.4,29.6,26.5,69.3,"16,177,365",2.5,117
Aug,141,22.9,29.2,26.1,70.8,"15,626,758",2.5,113
Sep,158,23.1,29.6,26.4,68.8,"16,018,145",2.1,111
Oct,72,23.3,31.1,27.2,64.0,"17,520,378",1.9,125
Nov,2,23.8,34.1,29.0,44.7,"19,908,098",1.9,146
Dec,0,22.3,35.4,28.9,31.3,"20,427,424",1.9,161
Total,673,,"1,767",,,,,
