Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,20.0,33.7,26.9,19.9,"21,803,479",3.2,208
Feb,0,21.4,35.9,28.7,15.4,"23,733,273",3.0,204
Mar,0,24.5,37.1,30.8,31.1,"23,774,963",2.0,197
Apr,12,25.4,35.3,30.3,46.1,"22,539,534",2.4,180
May,34,25.0,33.9,29.5,55.1,"22,288,741",2.1,168
Jun,125,23.6,31.2,27.4,64.8,"19,799,181",1.8,134
Jul,163,22.9,29.2,26.0,71.4,"17,333,304",1.9,118
Aug,149,22.0,28.4,25.2,73.5,"16,557,558",2.0,110
Sep,276,21.6,28.4,25.0,73.2,"15,793,460",1.8,102
Oct,54,21.5,31.1,26.3,57.0,"20,213,453",1.8,139
Nov,0,21.2,33.9,27.5,28.9,"21,924,238",2.6,177
Dec,0,20.3,33.6,27.0,22.2,"21,152,562",3.1,198
Total,814,,"1,937",,,,,
