Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,14.7,27.7,21.2,13.7,"21,340,470",4.1,201
Feb,0,15.9,30.7,23.3,9.3,"23,812,780",4.1,213
Mar,0,21.0,36.3,28.7,7.7,"25,642,717",3.8,266
Apr,0,24.8,39.7,32.3,15.9,"25,651,293",2.8,235
May,0,26.7,39.9,33.3,18.9,"25,439,148",3.0,252
Jun,12,26.4,37.5,31.9,34.0,"24,683,716",3.3,225
Jul,47,24.9,33.1,29.0,53.3,"21,847,189",3.6,187
Aug,272,23.1,30.1,26.6,65.1,"18,777,983",3.4,143
Sep,94,23.3,31.9,27.6,58.9,"22,016,171",2.6,154
Oct,2,21.7,34.3,28.0,30.1,"22,670,769",3.3,207
Nov,0,17.7,31.6,24.6,17.4,"21,865,308",3.6,200
Dec,0,16.2,29.3,22.8,17.1,"20,590,846",4.1,201
Total,429,,"2,483",,,,,
