Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,11,21.7,34.1,27.9,28.2,"20,653,066",3.0,192
Feb,1,22.1,35.4,28.7,28.8,"21,896,692",2.4,166
Mar,50,23.6,33.9,28.8,51.0,"20,162,799",3.1,170
Apr,176,23.2,31.7,27.4,61.7,"18,709,767",2.9,139
May,117,22.7,29.8,26.2,69.8,"16,849,810",2.5,119
Jun,257,22.0,28.3,25.2,74.4,"15,877,005",2.5,102
Jul,285,21.7,27.1,24.4,77.6,"14,458,512",2.8,96
Aug,211,21.4,27.3,24.3,76.2,"14,773,281",3.1,100
Sep,277,21.5,27.8,24.7,74.5,"15,391,808",2.6,100
Oct,231,21.7,28.9,25.3,69.5,"15,838,067",2.1,108
Nov,27,22.1,31.6,26.9,51.5,"18,644,088",2.3,134
Dec,1,21.7,33.7,27.7,31.3,"19,881,741",2.7,174
Total,"1,645",,"1,600",,,,,
