Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,53,23.5,33.1,28.3,50.3,"18,072,870",1.8,133
Feb,33,24.5,34.0,29.3,52.9,"18,685,272",1.8,128
Mar,138,24.7,32.8,28.7,65.6,"17,584,228",1.9,128
Apr,229,24.3,31.6,27.9,69.3,"15,798,072",1.7,110
May,260,23.7,30.4,27.1,74.0,"14,691,107",1.5,102
Jun,320,23.0,29.0,26.0,77.8,"13,356,165",1.5,88
Jul,313,22.8,28.4,25.6,77.0,"13,177,833",1.9,90
Aug,168,22.6,28.7,25.7,74.9,"14,676,973",2.3,101
Sep,326,22.7,28.7,25.7,76.2,"13,722,575",1.9,92
Oct,331,22.8,29.4,26.1,76.2,"13,970,761",1.6,95
Nov,137,23.3,31.1,27.2,68.5,"16,374,069",1.7,108
Dec,53,23.2,32.4,27.8,55.7,"17,847,018",1.7,127
Total,"2,361",,"1,301",,,,,
