Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,17.1,29.1,23.1,15.3,"22,282,819",3.8,206
Feb,0,18.1,31.6,24.9,11.3,"24,264,563",3.7,209
Mar,0,21.9,36.6,29.2,10.3,"25,744,607",3.3,253
Apr,6,25.2,37.2,31.2,28.4,"23,905,052",3.4,224
May,6,25.4,36.6,31.0,35.3,"23,882,863",3.4,223
Jun,101,23.1,32.3,27.7,52.1,"21,853,191",3.2,168
Jul,184,22.0,29.2,25.6,63.6,"19,468,358",3.2,140
Aug,288,21.2,27.5,24.3,69.0,"16,592,204",3.1,117
Sep,303,21.5,28.5,25.0,65.1,"18,552,508",2.4,124
Oct,45,21.6,31.2,26.4,44.7,"21,712,891",2.5,165
Nov,0,19.8,31.9,25.9,20.4,"22,295,468",3.5,202
Dec,0,17.8,30.0,23.9,18.9,"21,528,234",3.7,200
Total,933,,"2,232",,,,,
