Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,2,21.5,35.2,28.4,29.4,"20,545,526",1.9,163
Feb,6,22.7,35.5,29.1,39.0,"20,437,873",1.8,145
Mar,49,24.6,34.0,29.3,56.3,"19,380,907",2.3,151
Apr,70,23.6,32.1,27.8,65.2,"17,886,737",2.1,126
May,129,23.3,30.6,27.0,70.1,"17,308,195",1.9,118
Jun,248,22.1,28.7,25.4,77.1,"15,335,815",1.8,97
Jul,160,21.8,27.5,24.7,78.8,"14,077,370",2.1,92
Aug,222,21.2,27.2,24.2,79.9,"13,261,208",2.3,89
Sep,302,21.9,27.8,24.8,79.4,"13,884,879",1.9,90
Oct,111,22.0,29.4,25.7,73.2,"15,315,318",1.5,102
Nov,27,22.9,31.8,27.3,56.8,"18,039,337",1.7,123
Dec,6,21.4,33.5,27.5,41.1,"18,998,162",1.8,143
Total,"1,333",,"1,438",,,,,
