Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,2,22.2,35.4,28.8,21.9,"21,567,570",3.2,212
Feb,0,21.9,37.3,29.6,18.0,"23,347,863",2.7,193
Mar,3,26.2,37.8,32.0,35.3,"22,342,083",3.0,210
Apr,61,25.5,35.2,30.4,50.2,"19,588,595",3.1,174
May,45,24.9,33.5,29.2,57.0,"18,825,205",2.8,155
Jun,136,23.8,31.2,27.5,65.3,"16,667,039",2.5,122
Jul,306,23.2,29.6,26.4,71.8,"14,865,589",2.5,109
Aug,202,22.9,29.1,26.0,73.2,"14,573,585",2.5,106
Sep,242,22.6,29.5,26.0,70.5,"15,363,744",2.1,106
Oct,181,22.8,30.9,26.9,63.7,"17,103,822",2.1,123
Nov,2,22.9,34.1,28.5,39.8,"20,531,436",2.3,156
Dec,0,21.8,35.1,28.4,26.2,"20,921,122",2.9,193
Total,"1,181",,"1,860",,,,,
