Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,18.4,34.0,26.2,13.9,"22,258,733",2.0,171
Feb,0,19.9,36.2,28.1,10.4,"24,132,590",2.0,171
Mar,0,23.7,40.1,31.9,12.3,"25,237,934",2.4,229
Apr,24,27.4,39.2,33.3,31.4,"23,373,130",2.9,223
May,19,27.6,37.4,32.5,40.9,"23,124,210",2.7,208
Jun,98,25.5,34.1,29.8,53.2,"21,216,705",2.5,165
Jul,150,24.8,31.4,28.1,61.5,"18,574,538",2.8,147
Aug,232,23.5,29.8,26.7,66.6,"16,717,688",2.8,127
Sep,186,23.0,30.3,26.6,64.7,"17,808,096",2.2,124
Oct,41,23.1,32.9,28.0,50.6,"20,841,549",1.8,149
Nov,0,21.2,35.2,28.2,22.7,"22,136,606",1.8,160
Dec,0,19.1,34.1,26.6,18.9,"21,385,407",1.9,160
Total,749,,"2,035",,,,,
