Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,6,23.0,36.0,29.5,31.9,"19,885,926",2.1,166
Feb,1,23.9,37.4,30.7,32.3,"21,032,172",2.1,162
Mar,35,25.6,36.2,30.9,47.2,"19,582,980",2.4,168
Apr,173,24.7,33.9,29.3,58.5,"17,745,811",2.3,137
May,108,24.3,32.0,28.1,64.9,"16,528,531",2.0,122
Jun,189,23.6,30.4,27.0,70.2,"15,513,618",1.9,106
Jul,359,23.1,29.3,26.2,72.7,"14,255,233",1.9,100
Aug,198,23.0,29.6,26.3,71.3,"14,363,389",2.2,104
Sep,250,23.0,29.9,26.4,70.2,"14,818,554",1.8,102
Oct,265,23.0,30.6,26.8,67.9,"15,009,669",1.8,107
Nov,16,23.9,33.2,28.5,52.6,"17,916,083",2.1,133
Dec,2,23.2,35.3,29.3,35.2,"19,193,641",2.0,156
Total,"1,601",,"1,564",,,,,
