Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,13.5,28.7,21.1,18.0,"22,003,807",2.8,170
Feb,0,13.8,31.1,22.5,12.5,"24,067,346",2.8,176
Mar,0,18.5,36.2,27.4,10.1,"25,665,564",2.7,225
Apr,4,23.2,37.4,30.3,25.5,"23,691,533",2.5,202
May,8,23.9,36.3,30.1,34.3,"23,402,658",2.4,197
Jun,92,22.1,32.1,27.1,52.2,"21,867,768",2.2,155
Jul,195,21.4,29.1,25.2,64.7,"19,811,100",2.0,132
Aug,315,20.7,27.6,24.1,68.8,"17,309,466",2.0,115
Sep,248,20.4,28.3,24.4,66.4,"18,706,944",1.8,119
Oct,31,19.3,31.1,25.2,43.9,"21,963,947",2.1,156
Nov,0,16.2,31.2,23.7,23.5,"22,272,903",2.6,168
Dec,0,14.0,29.3,21.7,22.3,"21,476,003",2.7,165
Total,894,,"1,980",,,,,
