Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,19.0,34.6,26.8,22.0,"21,594,376",1.8,162
Feb,0,19.0,36.6,27.8,15.2,"23,673,588",1.8,164
Mar,2,23.9,38.2,31.0,25.7,"23,953,774",1.7,190
Apr,85,25.1,35.1,30.1,46.8,"20,900,730",1.7,158
May,113,24.6,33.6,29.1,54.1,"20,218,870",1.5,148
Jun,270,22.9,31.1,27.0,63.2,"17,543,743",1.5,119
Jul,388,22.3,29.2,25.7,69.7,"15,234,472",1.5,105
Aug,413,21.8,28.5,25.1,71.3,"14,415,369",1.6,100
Sep,404,21.8,28.8,25.3,68.5,"15,263,558",1.5,101
Oct,231,21.7,31.2,26.4,56.5,"19,484,287",1.5,132
Nov,0,19.8,33.8,26.8,31.7,"21,616,212",1.8,153
Dec,0,18.5,34.3,26.4,23.3,"21,187,890",1.8,159
Total,"1,907",,"1,690",,,,,
