Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,25,21.5,34.8,28.1,37.8,"19,267,641",1.7,146
Feb,5,22.9,36.1,29.5,38.4,"20,432,023",1.6,142
Mar,94,24.0,34.6,29.3,54.4,"18,619,968",1.9,143
Apr,196,23.4,32.6,28.0,63.2,"16,936,782",1.8,119
May,184,23.0,31.1,27.0,70.3,"15,991,929",1.5,110
Jun,229,22.3,29.6,26.0,73.6,"14,600,118",1.5,95
Jul,287,22.1,28.7,25.4,75.9,"13,915,596",1.7,93
Aug,208,21.9,28.9,25.4,73.4,"14,410,043",1.9,98
Sep,293,21.9,29.3,25.6,72.2,"14,643,910",1.6,96
Oct,296,21.9,29.9,25.9,72.6,"14,558,186",1.3,98
Nov,52,22.4,32.2,27.3,58.1,"17,422,542",1.5,117
Dec,7,21.5,34.3,27.9,40.3,"18,745,800",1.6,139
Total,"1,877",,"1,396",,,,,
