Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m"
Jan,0,13.7,28.0,20.9,15.6,"21,609,552",3.3,182
Feb,0,14.7,31.0,22.9,11.1,"23,886,292",3.3,191
Mar,0,19.2,36.6,27.9,9.1,"25,818,308",3.2,246
Apr,0,24.7,39.3,32.0,20.3,"25,251,803",2.8,230
May,2,25.4,38.5,32.0,27.3,"24,725,035",2.6,224
Jun,10,25.3,36.6,30.9,36.5,"23,649,015",2.9,204
Jul,83,24.1,32.6,28.4,53.1,"21,074,209",2.9,170
Aug,361,22.4,29.4,25.9,66.5,"17,370,115",2.6,126
Sep,113,22.7,31.5,27.1,59.6,"21,106,716",2.2,143
Oct,3,21.1,34.2,27.7,31.6,"22,295,866",2.7,188
Nov,0,16.6,31.7,24.1,19.9,"21,786,472",3.0,182
Dec,0,14.5,29.0,21.8,20.9,"20,911,761",3.2,175
Total,572,,"2,260",,,,,
